id,title,description,category,resolution,priority
TKT-0020,Unencrypted S3 bucket alert.,Help: Unencrypted S3 bucket alert.,Security,Enable AES256 server-side encryption via AWS console policies.,Critical
TKT-0021,Issue: Vulnerability scan flagged outdat...,Issue: Vulnerability scan flagged outdated OpenSSL library.,Security,Patch the OS images across the fleet to the latest LTS security patch.,Medium
TKT-0022,Server web-prod-1 keeps crashing w...,Help: Server web-prod-1 keeps crashing with out of memory exception.,Infrastructure,Issue: Increase RAM allocation to auth-cluster-A by 16GB and restart daemon.,Critical
TKT-0023,DNS resolution failing for internal doma...,DNS resolution failing for internal domain corp.local.,Network,Flush DNS cache locally and re-sync internal records on Active Directory.,High
TKT-0024,High CPU utilization warning on main com...,High CPU utilization warning on main compute cluster.,Infrastructure,Urgent: Scale out autoscaling group parameters locally and monitor graph drops. Need assistance.,Low
TKT-0025,Issue: Kubernetes pod stuck in crash loo...,Issue: Kubernetes pod stuck in crash loop backoff. Need assistance.,Infrastructure,Delete the failing pod to force replica set recreation and inspect container logs.,Critical
TKT-0026,Database backup failed last night.,Database backup failed last night.,Database,Check S3 backup bucket permissions and manually trigger the cron snapshot.,High
TKT-0027,The Customer Portal module is returning ...,The Customer Portal module is returning blank pages intermittently.,Application,Restart the node backend processes processing frontend API calls.,Low
TKT-0028,Contractor jdoe requires Jira access.,Contractor jdoe requires Jira access.,Access Management,Provision a standard license for kmiller and assign to the Contractor user-tier.,Low
TKT-0029,VPN connection failing for remote users ...,VPN connection failing for remote users in branch office.,Network,Restart the Cisco AnyConnect headend router and clear active sessions.,Critical
TKT-0030,Disk space alert on production VM.,Disk space alert on production VM.,Infrastructure,Help: Execute log rotation algorithm and purge generic temp files via script.,Low
TKT-0031,Issue: DNS resolution failing for intern...,Issue: DNS resolution failing for internal domain intranet.internal.,Network,Urgent: Flush DNS cache locally and re-sync internal records on Active Directory.,High
TKT-0032,Contractor asmith requires Jira ...,Urgent: Contractor asmith requires Jira access.,Access Management,Error: Provision a standard license for jdoe and assign to the Contractor user-tier.,Medium
TKT-0033,Contractor kmiller requires Jira a...,Help: Contractor kmiller requires Jira access. Need assistance.,Access Management,Provision a standard license for bwilliams and assign to the Contractor user-tier. Need assistance.,Low
TKT-0034,The Inventory System module is returning...,The Inventory System module is returning blank pages intermittently.,Application,[Ticket] Restart the node backend processes processing frontend API calls.,Medium
TKT-0035,Server auth-cluster-A keeps crashing wit...,Server auth-cluster-A keeps crashing with out of memory exception.,Infrastructure,Issue: Increase RAM allocation to analytics-node by 16GB and restart daemon.,Critical
TKT-0036,Contractor jdoe requires Jira access.,Contractor jdoe requires Jira access.,Access Management,[Ticket] Provision a standard license for kmiller and assign to the Contractor user-tier. This is blocking us.,Medium
TKT-0037,Deployment pipeline failing for HR Dashb...,Deployment pipeline failing for HR Dashboard on EC2 instances.,Infrastructure,Error: Clear IAM cache on the runner and restart the Jenkins pipeline.,High
TKT-0038,Server cache-server-01 keeps crashing wi...,Server cache-server-01 keeps crashing with out of memory exception. Happens intermittently.,Infrastructure,Urgent: Increase RAM allocation to web-prod-1 by 16GB and restart daemon. Need assistance.,Critical
TKT-0039,Contractor kmiller requires Jira access....,Contractor kmiller requires Jira access. This is blocking us.,Access Management,Provision a standard license for rjohnson and assign to the Contractor user-tier.,Critical
TKT-0040,"Employee left company, please revoke per...","Employee left company, please revoke permissions. This is blocking us.",Access Management,"Issue: Execute offboarding script to disable AD, email, and internal VPN accounts.",Medium
TKT-0041,Error: Server auth-cluster-A keeps crash...,Error: Server auth-cluster-A keeps crashing with out of memory exception. Happens intermittently.,Infrastructure,Increase RAM allocation to cache-server-01 by 16GB and restart daemon.,Critical
TKT-0042,Vulnerability scan flagged outdated Open...,Vulnerability scan flagged outdated OpenSSL library.,Security,Patch the OS images across the fleet to the latest LTS security patch.,Low
TKT-0043,Detected suspicious login attempt from e...,Detected suspicious login attempt from external IP block.,Security,Issue: Block IP range temporarily in WAF and force password reset for user kmiller.,Low
TKT-0044,Detected suspicious login attempt from e...,Detected suspicious login attempt from external IP block. Need assistance.,Security,Block IP range temporarily in WAF and force password reset for user kmiller.,High
TKT-0045,Deployment pipeline failing for ...,Urgent: Deployment pipeline failing for Customer Portal on EC2 instances.,Infrastructure,Urgent: Clear IAM cache on the runner and restart the Jenkins pipeline.,Critical
TKT-0046,Malware detected on workstation MAC-DESI...,Malware detected on workstation MAC-DESIGN-8.,Security,"Isolate LAPTOP-72A from the network, run deep antivirus scan, and reinstall OS if needed.",Critical
TKT-0047,Deployment pipeline failing for ...,Urgent: Deployment pipeline failing for Inventory System on EC2 instances. This is blocking us.,Infrastructure,Clear IAM cache on the runner and restart the Jenkins pipeline.,High
TKT-0048,User kmiller needs access to Github repo...,User kmiller needs access to Github repository.,Access Management,Add asmith to the 'Developers' GitHub organization group with write permissions.,Medium
TKT-0049,Payment form throwing 'Invalid Token' up...,Payment form throwing 'Invalid Token' upon submission. Happens intermittently.,Application,Regenerate Stripe API keys and update the secret manager cache.,Low
TKT-0050,Vulnerability scan flagged outdated Open...,Vulnerability scan flagged outdated OpenSSL library.,Security,Patch the OS images across the fleet to the latest LTS security patch.,Critical
TKT-0051,Database backup failed last night. Happe...,Database backup failed last night. Happens intermittently.,Database,Check S3 backup bucket permissions and manually trigger the cron snapshot.,High
TKT-0052,[Ticket] Database backup failed last nig...,[Ticket] Database backup failed last night.,Database,Check S3 backup bucket permissions and manually trigger the cron snapshot. This is blocking us.,High
TKT-0053,Unencrypted S3 bucket alert. Need assist...,Unencrypted S3 bucket alert. Need assistance.,Security,Enable AES256 server-side encryption via AWS console policies.,Medium
TKT-0054,Kubernetes pod stuck in crash loop backo...,Kubernetes pod stuck in crash loop backoff.,Infrastructure,Error: Delete the failing pod to force replica set recreation and inspect container logs.,High
TKT-0055,Error: Deployment pipeline failing for M...,Error: Deployment pipeline failing for Mobile Gateway on EC2 instances.,Infrastructure,Clear IAM cache on the runner and restart the Jenkins pipeline.,Critical
TKT-0056,Issue: The Billing API module is returni...,Issue: The Billing API module is returning blank pages intermittently.,Application,Issue: Restart the node backend processes processing frontend API calls.,Medium
TKT-0057,Contractor bwilliams requires Jira acces...,Contractor bwilliams requires Jira access.,Access Management,Provision a standard license for kmiller and assign to the Contractor user-tier.,Critical
TKT-0058,Malware detected on workstation MAC-DESI...,Malware detected on workstation MAC-DESIGN-8.,Security,"Isolate WS-ENGINEERING-1 from the network, run deep antivirus scan, and reinstall OS if needed.",Medium
TKT-0059,[Ticket] Unencrypted S3 bucket alert. Pl...,[Ticket] Unencrypted S3 bucket alert. Please fix ASAP.,Security,Enable AES256 server-side encryption via AWS console policies.,Critical
TKT-0060,Issue: Deployment pipeline failing for C...,Issue: Deployment pipeline failing for Customer Portal on EC2 instances.,Infrastructure,Issue: Clear IAM cache on the runner and restart the Jenkins pipeline.,Critical
TKT-0061,VPN connection failing for remote users ...,VPN connection failing for remote users in branch office.,Network,Help: Restart the Cisco AnyConnect headend router and clear active sessions.,Critical
TKT-0062,Issue: High CPU utilization warning on m...,Issue: High CPU utilization warning on main compute cluster. Happens intermittently.,Infrastructure,Scale out autoscaling group parameters locally and monitor graph drops.,Medium
TKT-0063,[Ticket] The Billing API module is retur...,[Ticket] The Billing API module is returning blank pages intermittently.,Application,Restart the node backend processes processing frontend API calls.,Low
TKT-0064,Issue: Deadlock detected between transac...,Issue: Deadlock detected between transaction engines. Please fix ASAP.,Database,Refactor the commit ordering sequence in the backend ORM mapped models.,Critical
TKT-0065,Login button is unresponsive on mobile S...,Login button is unresponsive on mobile Safari.,Application,Update the frontend JS polyfills supporting legacy Safari engine.,High
TKT-0066,DNS resolution failing for internal doma...,DNS resolution failing for internal domain dev.staging.,Network,Flush DNS cache locally and re-sync internal records on Active Directory.,High
TKT-0067,VPN connection failing for remote users ...,VPN connection failing for remote users in branch office.,Network,Issue: Restart the Cisco AnyConnect headend router and clear active sessions. Please fix ASAP.,High
TKT-0068,[Ticket] Disk space alert on production ...,[Ticket] Disk space alert on production VM.,Infrastructure,Error: Execute log rotation algorithm and purge generic temp files via script. Please fix ASAP.,Critical
TKT-0069,[Ticket] Long running analytical queries...,[Ticket] Long running analytical queries blocking OLTP transactions.,Database,Kill PID 9006 mapping to the slow query and route analytics to the read replica.,Medium
TKT-0070,Contractor kmiller requires Jira access.,Contractor kmiller requires Jira access.,Access Management,Urgent: Provision a standard license for jdoe and assign to the Contractor user-tier. Need assistance.,Medium
TKT-0071,Contractor bwilliams requires Jira acces...,Contractor bwilliams requires Jira access.,Access Management,Provision a standard license for rjohnson and assign to the Contractor user-tier.,High
TKT-0072,Database backup failed last night.,Database backup failed last night.,Database,Check S3 backup bucket permissions and manually trigger the cron snapshot.,High
TKT-0073,BGP route flapping on the outbound gatew...,BGP route flapping on the outbound gateway. Please fix ASAP.,Network,Contact ISP to verify ASN route advertisement stability policies.,High
TKT-0074,Slow internet speeds reported across cam...,Slow internet speeds reported across campus network.,Network,Identify top bandwidth hogging devices and apply QoS rate limiting.,Medium
TKT-0075,VPN connection failing for remote ...,Help: VPN connection failing for remote users in branch office. Need assistance.,Network,Restart the Cisco AnyConnect headend router and clear active sessions.,Critical
TKT-0076,Slow internet speeds reported across cam...,Slow internet speeds reported across campus network.,Network,Issue: Identify top bandwidth hogging devices and apply QoS rate limiting.,High
TKT-0077,Slow internet speeds reported ac...,Urgent: Slow internet speeds reported across campus network. This is blocking us.,Network,Identify top bandwidth hogging devices and apply QoS rate limiting.,High
TKT-0078,Error: Payment form throwing 'Invalid To...,Error: Payment form throwing 'Invalid Token' upon submission.,Application,Help: Regenerate Stripe API keys and update the secret manager cache.,High
TKT-0079,Deployment pipeline failing for HR...,Help: Deployment pipeline failing for HR Dashboard on EC2 instances.,Infrastructure,Clear IAM cache on the runner and restart the Jenkins pipeline.,Critical
TKT-0080,DNS resolution failing for internal doma...,DNS resolution failing for internal domain corp.local.,Network,Flush DNS cache locally and re-sync internal records on Active Directory.,High
TKT-0081,Error: Deadlock detected between transac...,Error: Deadlock detected between transaction engines.,Database,Refactor the commit ordering sequence in the backend ORM mapped models. Happens intermittently.,Critical
TKT-0082,Index fragmentation leading to slow SELE...,Index fragmentation leading to slow SELECT performance. Please fix ASAP.,Database,Run REINDEX TABLE manually during off-peak hours. This is blocking us.,Low
TKT-0083,User kmiller needs access to Github repo...,User kmiller needs access to Github repository.,Access Management,Help: Add bwilliams to the 'Developers' GitHub organization group with write permissions. Please fix ASAP.,Medium
TKT-0084,User asmith needs access to Gith...,Urgent: User asmith needs access to Github repository. Happens intermittently.,Access Management,Add bwilliams to the 'Developers' GitHub organization group with write permissions.,Low
TKT-0085,Issue: Packet loss spikes detected betwe...,Issue: Packet loss spikes detected between core switches.,Network,Check physical fiber connections and spanning tree protocol logs. This is blocking us.,Low
TKT-0086,API endpoint vulnerable to SQL Injection...,API endpoint vulnerable to SQL Injection. Please fix ASAP.,Security,Issue: Sanitize input parameters immediately via parameterized queries update.,High
TKT-0087,Detected suspicious login attempt from e...,Detected suspicious login attempt from external IP block.,Security,Block IP range temporarily in WAF and force password reset for user kmiller. Happens intermittently.,Critical
TKT-0088,Users reporting 500 internal server erro...,Users reporting 500 internal server error on checkout.,Application,Rollback the last hotfix release v1.7.2 and check application load balancer endpoints.,Critical
TKT-0089,"Employee left company, please revoke per...","Employee left company, please revoke permissions.",Access Management,"Urgent: Execute offboarding script to disable AD, email, and internal VPN accounts.",High
TKT-0090,Malware detected on workstation MAC-DESI...,Malware detected on workstation MAC-DESIGN-8. This is blocking us.,Security,"Isolate DESKTOP-99B from the network, run deep antivirus scan, and reinstall OS if needed.",Low
TKT-0091,Login button is unresponsive on ...,Urgent: Login button is unresponsive on mobile Safari.,Application,Update the frontend JS polyfills supporting legacy Safari engine.,Critical
TKT-0092,Unencrypted S3 bucket alert.,Urgent: Unencrypted S3 bucket alert.,Security,Issue: Enable AES256 server-side encryption via AWS console policies.,Critical
TKT-0093,Users reporting 500 internal server erro...,Users reporting 500 internal server error on checkout.,Application,Rollback the last hotfix release v2.1.7 and check application load balancer endpoints.,High
TKT-0094,Disk space alert on production VM.,Disk space alert on production VM.,Infrastructure,Execute log rotation algorithm and purge generic temp files via script.,Medium
TKT-0095,"Employee left company, please revoke per...","Employee left company, please revoke permissions.",Access Management,"Execute offboarding script to disable AD, email, and internal VPN accounts. This is blocking us.",Low
TKT-0096,Password reset requested for executive a...,Password reset requested for executive account.,Access Management,Verify identity via phone callback and issue temporary secure password link.,High
TKT-0097,Deployment pipeline failing for Inventor...,Deployment pipeline failing for Inventory System on EC2 instances. This is blocking us.,Infrastructure,Clear IAM cache on the runner and restart the Jenkins pipeline. Please fix ASAP.,High
TKT-0098,BGP route flapping on the outbou...,Urgent: BGP route flapping on the outbound gateway.,Network,Contact ISP to verify ASN route advertisement stability policies.,Medium
TKT-0099,"Employee left company, please revoke per...","Employee left company, please revoke permissions. This is blocking us.",Access Management,"Execute offboarding script to disable AD, email, and internal VPN accounts.",Low
TKT-0100,[Ticket] Payment form throwing 'Invalid ...,[Ticket] Payment form throwing 'Invalid Token' upon submission.,Application,Regenerate Stripe API keys and update the secret manager cache.,Low
TKT-0101,Users reporting 500 internal server erro...,Users reporting 500 internal server error on checkout.,Application,Rollback the last hotfix release v1.2.6 and check application load balancer endpoints. Need assistance.,High
TKT-0102,The Mobile Gateway module is returning b...,The Mobile Gateway module is returning blank pages intermittently.,Application,Help: Restart the node backend processes processing frontend API calls.,Low
TKT-0103,Payment form throwing 'Invalid Token' up...,Payment form throwing 'Invalid Token' upon submission.,Application,Regenerate Stripe API keys and update the secret manager cache. Please fix ASAP.,Medium
TKT-0104,Payment form throwing 'Invalid Token' up...,Payment form throwing 'Invalid Token' upon submission. Please fix ASAP.,Application,Help: Regenerate Stripe API keys and update the secret manager cache.,Low
TKT-0105,Kubernetes pod stuck in crash loop backo...,Kubernetes pod stuck in crash loop backoff.,Infrastructure,Issue: Delete the failing pod to force replica set recreation and inspect container logs.,Critical
TKT-0106,[Ticket] Database backup failed last nig...,[Ticket] Database backup failed last night.,Database,[Ticket] Check S3 backup bucket permissions and manually trigger the cron snapshot.,High
TKT-0107,User bwilliams needs access to Github re...,User bwilliams needs access to Github repository.,Access Management,Add asmith to the 'Developers' GitHub organization group with write permissions.,High
TKT-0108,Error: Kubernetes pod stuck in crash loo...,Error: Kubernetes pod stuck in crash loop backoff.,Infrastructure,Delete the failing pod to force replica set recreation and inspect container logs. Need assistance.,High
TKT-0109,Detected suspicious login attempt from e...,Detected suspicious login attempt from external IP block.,Security,Block IP range temporarily in WAF and force password reset for user jdoe.,High
TKT-0110,Issue: Long running analytical queries b...,Issue: Long running analytical queries blocking OLTP transactions. Happens intermittently.,Database,Kill PID 3961 mapping to the slow query and route analytics to the read replica. Happens intermittently.,Critical
TKT-0111,Index fragmentation leading to slow SELE...,Index fragmentation leading to slow SELECT performance.,Database,Run REINDEX TABLE manually during off-peak hours. Happens intermittently.,Low
TKT-0112,Error: Unencrypted S3 bucket alert.,Error: Unencrypted S3 bucket alert.,Security,Enable AES256 server-side encryption via AWS console policies. Need assistance.,Low
TKT-0113,Vulnerability scan flagged outdated Open...,Vulnerability scan flagged outdated OpenSSL library.,Security,[Ticket] Patch the OS images across the fleet to the latest LTS security patch.,Medium
TKT-0114,Long running analytical queries blocking...,Long running analytical queries blocking OLTP transactions.,Database,Issue: Kill PID 8834 mapping to the slow query and route analytics to the read replica.,Critical
TKT-0115,Vulnerability scan flagged outdated Open...,Vulnerability scan flagged outdated OpenSSL library.,Security,Issue: Patch the OS images across the fleet to the latest LTS security patch.,Critical
TKT-0116,The Mobile Gateway module is returning b...,The Mobile Gateway module is returning blank pages intermittently.,Application,Restart the node backend processes processing frontend API calls.,High
TKT-0117,Database backup failed last nigh...,Urgent: Database backup failed last night.,Database,Check S3 backup bucket permissions and manually trigger the cron snapshot.,Critical
TKT-0118,Issue: Unencrypted S3 bucket alert.,Issue: Unencrypted S3 bucket alert.,Security,Enable AES256 server-side encryption via AWS console policies.,Critical
TKT-0119,The Billing API module is returning blan...,The Billing API module is returning blank pages intermittently.,Application,Restart the node backend processes processing frontend API calls.,High
TKT-0120,BGP route flapping on the outbound gatew...,BGP route flapping on the outbound gateway.,Network,Contact ISP to verify ASN route advertisement stability policies.,Critical
TKT-0121,BGP route flapping on the outbound gatew...,BGP route flapping on the outbound gateway.,Network,Help: Contact ISP to verify ASN route advertisement stability policies. Please fix ASAP.,Critical
TKT-0122,[Ticket] Password reset requested for ex...,[Ticket] Password reset requested for executive account.,Access Management,Verify identity via phone callback and issue temporary secure password link.,Critical
TKT-0123,Payment form throwing 'Invalid Token' up...,Payment form throwing 'Invalid Token' upon submission. Please fix ASAP.,Application,Regenerate Stripe API keys and update the secret manager cache. Please fix ASAP.,High
TKT-0124,Disk space alert on production VM.,Disk space alert on production VM.,Infrastructure,Execute log rotation algorithm and purge generic temp files via script.,Critical
TKT-0125,Issue: Deadlock detected between transac...,Issue: Deadlock detected between transaction engines. Happens intermittently.,Database,Refactor the commit ordering sequence in the backend ORM mapped models.,Low
TKT-0126,Issue: Deadlock detected between transac...,Issue: Deadlock detected between transaction engines. This is blocking us.,Database,Refactor the commit ordering sequence in the backend ORM mapped models.,Low
TKT-0127,User bwilliams needs access to Github re...,User bwilliams needs access to Github repository. Need assistance.,Access Management,[Ticket] Add rjohnson to the 'Developers' GitHub organization group with write permissions.,Medium
TKT-0128,Missing permissions to deploy to product...,Missing permissions to deploy to production AWS account.,Access Management,Assign IAM role 'Prod-Deployer' temporarily for 24 hours to rjohnson.,Low
TKT-0129,Database backup failed last night.,Database backup failed last night.,Database,Check S3 backup bucket permissions and manually trigger the cron snapshot.,High
TKT-0130,Password reset requested for executive a...,Password reset requested for executive account.,Access Management,Error: Verify identity via phone callback and issue temporary secure password link.,Low
TKT-0131,Disk space alert on production VM.,Disk space alert on production VM.,Infrastructure,Help: Execute log rotation algorithm and purge generic temp files via script. Happens intermittently.,Critical
TKT-0132,Issue: Database backup failed last night...,Issue: Database backup failed last night.,Database,Check S3 backup bucket permissions and manually trigger the cron snapshot.,High
TKT-0133,The Customer Portal module is re...,Urgent: The Customer Portal module is returning blank pages intermittently.,Application,Restart the node backend processes processing frontend API calls. Happens intermittently.,Medium
TKT-0134,User rjohnson needs access to Github rep...,User rjohnson needs access to Github repository.,Access Management,Add jdoe to the 'Developers' GitHub organization group with write permissions.,Critical
TKT-0135,Login button is unresponsive on mobile S...,Login button is unresponsive on mobile Safari.,Application,Help: Update the frontend JS polyfills supporting legacy Safari engine.,High
TKT-0136,Contractor bwilliams requires Jira acces...,Contractor bwilliams requires Jira access.,Access Management,Issue: Provision a standard license for asmith and assign to the Contractor user-tier.,Low
TKT-0137,Detected suspicious login attempt from e...,Detected suspicious login attempt from external IP block.,Security,Error: Block IP range temporarily in WAF and force password reset for user rjohnson.,Critical
TKT-0138,"Employee left company, please revoke per...","Employee left company, please revoke permissions. Please fix ASAP.",Access Management,"Execute offboarding script to disable AD, email, and internal VPN accounts.",Low
TKT-0139,Deadlock detected between transaction en...,Deadlock detected between transaction engines. Please fix ASAP.,Database,Refactor the commit ordering sequence in the backend ORM mapped models.,Medium
TKT-0140,Packet loss spikes detected between core...,Packet loss spikes detected between core switches.,Network,Check physical fiber connections and spanning tree protocol logs. Need assistance.,Critical
TKT-0141,Deadlock detected between transaction en...,Deadlock detected between transaction engines.,Database,Refactor the commit ordering sequence in the backend ORM mapped models.,High
TKT-0142,Payment form throwing 'Invalid Token' up...,Payment form throwing 'Invalid Token' upon submission.,Application,Regenerate Stripe API keys and update the secret manager cache.,Low
TKT-0143,Slow internet speeds reported across cam...,Slow internet speeds reported across campus network.,Network,Identify top bandwidth hogging devices and apply QoS rate limiting.,Medium
TKT-0144,Contractor jdoe requires Jira access.,Contractor jdoe requires Jira access.,Access Management,Help: Provision a standard license for asmith and assign to the Contractor user-tier.,Low
TKT-0145,Error: Database backup failed last night...,Error: Database backup failed last night.,Database,Help: Check S3 backup bucket permissions and manually trigger the cron snapshot.,Critical
TKT-0146,Vulnerability scan flagged outdated Open...,Vulnerability scan flagged outdated OpenSSL library.,Security,Patch the OS images across the fleet to the latest LTS security patch.,Critical
TKT-0147,Deadlock detected between transact...,Help: Deadlock detected between transaction engines.,Database,[Ticket] Refactor the commit ordering sequence in the backend ORM mapped models.,Critical
TKT-0148,Missing permissions to deploy to product...,Missing permissions to deploy to production AWS account.,Access Management,Assign IAM role 'Prod-Deployer' temporarily for 24 hours to bwilliams.,Medium
TKT-0149,[Ticket] Missing permissions to deploy t...,[Ticket] Missing permissions to deploy to production AWS account. Happens intermittently.,Access Management,Assign IAM role 'Prod-Deployer' temporarily for 24 hours to rjohnson.,Critical
TKT-0150,App crashes when uploading files larger ...,App crashes when uploading files larger than 10MB.,Application,Help: Change the nginx.conf client_max_body_size setting mapping to 50M.,High
TKT-0151,Password reset requested for exe...,Urgent: Password reset requested for executive account.,Access Management,Issue: Verify identity via phone callback and issue temporary secure password link. Happens intermittently.,High
TKT-0152,Vulnerability scan flagged outdated Open...,Vulnerability scan flagged outdated OpenSSL library.,Security,Patch the OS images across the fleet to the latest LTS security patch.,Critical
TKT-0153,Issue: Deployment pipeline failing for C...,Issue: Deployment pipeline failing for Customer Portal on EC2 instances.,Infrastructure,Clear IAM cache on the runner and restart the Jenkins pipeline.,Critical
TKT-0154,[Ticket] VPN connection failing for remo...,[Ticket] VPN connection failing for remote users in branch office.,Network,Restart the Cisco AnyConnect headend router and clear active sessions.,High
TKT-0155,App crashes when uploading files...,Urgent: App crashes when uploading files larger than 10MB.,Application,[Ticket] Change the nginx.conf client_max_body_size setting mapping to 50M.,High
TKT-0156,Disk space alert on production VM.,Disk space alert on production VM.,Infrastructure,Execute log rotation algorithm and purge generic temp files via script.,Low
TKT-0157,The Mobile Gateway module is returning b...,The Mobile Gateway module is returning blank pages intermittently.,Application,Restart the node backend processes processing frontend API calls. Need assistance.,Low
TKT-0158,[Ticket] User asmith needs access to Git...,[Ticket] User asmith needs access to Github repository. Please fix ASAP.,Access Management,Add jdoe to the 'Developers' GitHub organization group with write permissions.,Medium
TKT-0159,User kmiller needs access to Github repo...,User kmiller needs access to Github repository.,Access Management,Error: Add bwilliams to the 'Developers' GitHub organization group with write permissions.,Medium
TKT-0160,Deployment pipeline failing for Mobile G...,Deployment pipeline failing for Mobile Gateway on EC2 instances.,Infrastructure,Issue: Clear IAM cache on the runner and restart the Jenkins pipeline.,Critical
TKT-0161,Error: User bwilliams needs access to Gi...,Error: User bwilliams needs access to Github repository.,Access Management,Add kmiller to the 'Developers' GitHub organization group with write permissions.,Low
TKT-0162,Packet loss spikes detected between core...,Packet loss spikes detected between core switches. Need assistance.,Network,Check physical fiber connections and spanning tree protocol logs.,Low
TKT-0163,Login button is unresponsive on mobile S...,Login button is unresponsive on mobile Safari.,Application,[Ticket] Update the frontend JS polyfills supporting legacy Safari engine.,Medium
TKT-0164,App crashes when uploading files...,Urgent: App crashes when uploading files larger than 10MB.,Application,[Ticket] Change the nginx.conf client_max_body_size setting mapping to 50M.,High
TKT-0165,DNS resolution failing for internal doma...,DNS resolution failing for internal domain corp.local. Happens intermittently.,Network,Flush DNS cache locally and re-sync internal records on Active Directory.,High
TKT-0166,Long running analytical queries blocking...,Long running analytical queries blocking OLTP transactions.,Database,[Ticket] Kill PID 2818 mapping to the slow query and route analytics to the read replica.,Low
TKT-0167,Unencrypted S3 bucket alert. Thi...,Urgent: Unencrypted S3 bucket alert. This is blocking us.,Security,[Ticket] Enable AES256 server-side encryption via AWS console policies. Happens intermittently.,High
TKT-0168,Contractor asmith requires Jira access.,Contractor asmith requires Jira access.,Access Management,Provision a standard license for kmiller and assign to the Contractor user-tier.,Medium
TKT-0169,Vulnerability scan flagged outdated Open...,Vulnerability scan flagged outdated OpenSSL library.,Security,Patch the OS images across the fleet to the latest LTS security patch.,Critical
TKT-0170,Missing permissions to deploy to product...,Missing permissions to deploy to production AWS account.,Access Management,Assign IAM role 'Prod-Deployer' temporarily for 24 hours to asmith. Need assistance.,Low
TKT-0171,Error: Users reporting 500 internal serv...,Error: Users reporting 500 internal server error on checkout. Need assistance.,Application,[Ticket] Rollback the last hotfix release v1.8.4 and check application load balancer endpoints.,High
TKT-0172,Malware detected on workstation LAPTOP-7...,Malware detected on workstation LAPTOP-72A. Please fix ASAP.,Security,"Isolate WS-ENGINEERING-1 from the network, run deep antivirus scan, and reinstall OS if needed.",Medium
TKT-0173,Malware detected on workstation ...,Urgent: Malware detected on workstation DESKTOP-99B. This is blocking us.,Security,"Urgent: Isolate DESKTOP-99B from the network, run deep antivirus scan, and reinstall OS if needed.",Critical
